ONLINE Uni KA	Sun Dec 14 03:32:40 1997
OFFLINE Uni KA	Sun Dec 14 03:34:30 1997
ONLINE Uni KA	Sun Dec 14 03:41:38 1997
OFFLINE Uni KA	Sun Dec 14 03:42:42 1997
ONLINE Uni KA	Sun Dec 14 03:52:00 1997
ONLINE Uni KA	Sun Dec 14 03:54:08 1997
OFFLINE Uni KA	Sun Dec 14 03:55:14 1997
ONLINE Uni KA	Sun Dec 14 04:00:38 1997
OFFLINE Uni KA	Sun Dec 14 04:02:14 1997
ONLINE Uni KA	Sun Dec 14 04:09:24 1997
OFFLINE Uni KA	Sun Dec 14 04:10:42 1997
ONLINE Uni KA	Sun Dec 14 04:18:16 1997
OFFLINE Uni KA	Sun Dec 14 04:19:38 1997
ONLINE Vaihingen (PPP)	Sun Dec 14 04:21:34 1997
ONLINE Vaihingen (PPP)	Sun Dec 14 04:24:56 1997
ONLINE T-Online	Sun Dec 14 04:29:06 1997
OFFLINE T-Online	Sun Dec 14 04:30:00 1997
ONLINE Vaihingen (PPP)	Sun Dec 14 04:31:16 1997
OFFLINE Vaihingen (PPP)	Sun Dec 14 04:33:36 1997
ONLINE Vaihingen (PPP)	Sun Dec 14 04:38:14 1997
OFFLINE Vaihingen (PPP)	Sun Dec 14 04:39:48 1997
ONLINE Vaihingen (PPP)	Sun Dec 14 04:42:12 1997
OFFLINE Vaihingen (PPP)	Sun Dec 14 04:42:28 1997
ONLINE Vaihingen (PPP)	Sun Dec 14 04:43:06 1997
OFFLINE Vaihingen (PPP)	Sun Dec 14 04:44:24 1997
ONLINE Vaihingen (PPP)	Sun Dec 14 04:49:14 1997
OFFLINE Vaihingen (PPP)	Sun Dec 14 04:50:10 1997
ONLINE T-Online	Sun Dec 14 04:53:50 1997
OFFLINE T-Online	Sun Dec 14 04:55:20 1997
ONLINE Uni KA	Sun Dec 14 04:57:44 1997
OFFLINE Uni KA	Sun Dec 14 04:59:30 1997
ONLINE Uni KA	Sun Dec 14 05:20:28 1997
OFFLINE Uni KA	Sun Dec 14 05:21:30 1997
ONLINE Vaihingen (PPP)	Sun Dec 14 05:24:02 1997
OFFLINE Vaihingen (PPP)	Sun Dec 14 05:25:48 1997
ONLINE T-Online	Sun Dec 14 05:26:30 1997
OFFLINE T-Online	Sun Dec 14 05:27:22 1997
ONLINE Vaihingen (PPP)	Sun Dec 14 05:52:56 1997
OFFLINE Vaihingen (PPP)	Sun Dec 14 05:54:46 1997
ONLINE Vaihingen (PPP)	Sun Dec 14 06:06:50 1997
OFFLINE Vaihingen (PPP)	Sun Dec 14 06:08:42 1997
ONLINE T-Online	Sun Dec 14 06:13:50 1997
OFFLINE T-Online	Sun Dec 14 06:14:58 1997
ONLINE Vaihingen (PPP)	Sun Dec 14 06:32:42 1997
OFFLINE Vaihingen (PPP)	Sun Dec 14 06:34:02 1997
ONLINE T-Online	Sun Dec 14 06:38:46 1997
OFFLINE T-Online	Sun Dec 14 06:40:14 1997
ONLINE T-Online	Sun Dec 14 06:44:10 1997
OFFLINE T-Online	Sun Dec 14 06:45:26 1997
ONLINE T-Online	Sun Dec 14 06:46:34 1997
OFFLINE T-Online	Sun Dec 14 06:47:58 1997
ONLINE T-Online	Sun Dec 14 06:57:00 1997
OFFLINE T-Online	Sun Dec 14 06:58:22 1997
ONLINE T-Online	Sun Dec 14 07:03:16 1997
OFFLINE T-Online	Sun Dec 14 07:04:08 1997
ONLINE Uni KA	Sun Dec 14 07:06:02 1997
OFFLINE Uni KA	Sun Dec 14 07:07:22 1997
ONLINE Vaihingen (PPP)	Sun Dec 14 08:50:06 1997
OFFLINE Vaihingen (PPP)	Sun Dec 14 08:57:04 1997
ONLINE Vaihingen (PPP)	Sun Dec 14 09:16:38 1997
OFFLINE Vaihingen (PPP)	Sun Dec 14 09:17:16 1997
ONLINE Vaihingen (PPP)	Mon Dec 15 10:02:06 1997
OFFLINE Vaihingen (PPP)	Mon Dec 15 10:10:54 1997
ONLINE Vaihingen (PPP)	Mon Dec 15 19:12:44 1997
OFFLINE Vaihingen (PPP)	Mon Dec 15 19:33:02 1997
ONLINE Vaihingen (PPP)	Wed Dec 17 21:47:02 1997
OFFLINE Vaihingen (PPP)	Wed Dec 17 21:55:20 1997
ONLINE T-Online	Wed Dec 17 22:06:26 1997
OFFLINE T-Online	Wed Dec 17 22:11:00 1997
ONLINE Vaihingen (PPP)	Thu Dec 18 12:19:26 1997
OFFLINE Vaihingen (PPP)	Thu Dec 18 12:20:56 1997
ONLINE Vaihingen (PPP)	Thu Dec 18 12:21:36 1997
OFFLINE Vaihingen (PPP)	Thu Dec 18 12:25:56 1997
ONLINE Vaihingen (PPP)	Thu Dec 18 12:27:02 1997
OFFLINE Vaihingen (PPP)	Thu Dec 18 12:29:06 1997
ONLINE Vaihingen (PPP)	Thu Dec 18 12:31:02 1997
OFFLINE Vaihingen (PPP)	Thu Dec 18 12:33:54 1997
ONLINE Vaihingen (PPP)	Thu Dec 18 12:37:20 1997
OFFLINE Vaihingen (PPP)	Thu Dec 18 12:41:12 1997
ONLINE Vaihingen (PPP)	Thu Dec 18 12:43:30 1997
OFFLINE Vaihingen (PPP)	Thu Dec 18 13:10:26 1997
ONLINE Vaihingen (PPP)	Thu Dec 18 17:59:34 1997
OFFLINE Vaihingen (PPP)	Thu Dec 18 18:01:08 1997
ONLINE Vaihingen (PPP)	Fri Dec 19 10:35:00 1997
